Gear,Flag,Year,Region,Annual-Catch-Estimate,Aggregate-Data-Area,Aggregate-Data-Time,Aggregate-Data-catch-recs,Operational-Data-catch-recs,Length-Data-Area1,Length-Data-Time1,Length-Data-Size-int1,Length-Data-Samples1,Length-Data-Area2,Length-Data-Time2,Length-Data-Size-int2,Length-Data-Samples2
L,JP,1985,WCPFC,117,5x5,MON,690,316,5x5,MON,2,911,...,...,...,0
L,JP,1986,WCPFC,123,5x5,MON,670,216,5x5,MON,2,2238,...,...,...,0
L,JP,1987,WCPFC,47,5x5,MON,663,475,5x5,MON,2,336,5x5,MON,1,5
L,JP,1988,WCPFC,70,5x5,MON,682,675,5x5,MON,2,1201,5x5,MON,1,15
L,JP,1989,WCPFC,63,5x5,MON,678,238,5x5,MON,2,1323,5x5,MON,1,46
L,JP,1990,WCPFC,79,5x5,MON,693,369,5x5,MON,2,369,5x5,MON,1,20
L,JP,1991,WCPFC,119,5x5,MON,703,445,5x5,MON,2,2160,5x5,MON,1,75
L,JP,1992,WCPFC,113,5x5,MON,703,694,5x5,MON,2,669,5x5,MON,1,223
L,JP,1993,WCPFC,347,5x5,MON,1243,436,5x5,MON,2,2752,5x5,MON,1,188
L,JP,1994,WCPFC,170,5x5,MON,246,273,5x5,MON,2,1625,5x5,MON,1,48
L,JP,1995,WCPFC,210,5x5,MON,248,346,5x5,MON,2,3842,5x5,MON,1,150
L,JP,1996,WCPFC,159,5x5,MON,207,378,5x5,MON,2,460,5x5,MON,1,327
L,JP,1997,WCPFC,202,5x5,MON,201,543,5x5,MON,2,675,5x5,MON,1,213
L,JP,1998,WCPFC,104,5x5,MON,197,0,5x5,MON,2,352,5x5,MON,1,5
L,JP,1999,WCPFC,107,5x5,MON,183,0,5x5,MON,2,819,5x5,MON,1,15
L,JP,2000,WCPFC,18,5x5,MON,215,0,5x5,MON,2,364,10x20,MON,1,50
L,JP,2001,WCPFC,128,5x5,MON,318,0,5x5,MON,2,1759,10x20,MON,1,24
L,JP,2002,WCPFC,73,...,...,0,0,5x5,MON,2,818,5x5,MON,1,36
L,JP,2003,WCPFC,109,...,...,0,0,5x5,MON,2,3899,5x5,MON,1,8
L,JP,2004,WCPFC,72,...,...,0,5,5x5,MON,2,364,5x5,MON,1,9
L,JP,2005,WCPFC,99,...,...,0,43,5x5,MON,2,461,5x5,MON,1,265
L,JP,2006,WCPFC,74,...,...,0,170,5x5,MON,2,244,5x5,MON,1,33
L,JP,2007,WCPFC,53,5x5,MON,173,76,5x5,MON,2,290,5x5,MON,1,26
L,JP,2008,WCPFC,100,5x5,MON,175,52,5x5,MON,2,1463,...,...,...,0
L,JP,2009,WCPFC,63,5x5,MON,213,31,5x5,MON,2,564,5x5,MON,1,13
L,JP,2010,WCPFC,85,5x5,MON,204,37,5x5,...,2,630,...,...,...,0
L,JP,2011,WCPFC,130,5x5,MON,248,89,10x20,QTR,1,570,...,...,...,0
L,JP,2012,WCPFC,203,5x5,MON,226,118,10x20,QTR,1,1077,...,...,...,0
L,JP,2013,WCPFC,209,5x5,MON,207,298,10x20,QTR,1,1167,...,...,...,0
L,JP,2014,WCPFC,167,5x5,MON,185,635,10x20,QTR,1,1370,5x5,MON,1,4
L,JP,2015,WCPFC,97,5x5,MON,140,1686,10x20,QTR,1,1023,5x5,MON,1,561
L,JP,2016,WCPFC,49,5x5,MON,151,1503,10x20,QTR,1,715,5x5,MON,1,624
L,JP,2017,WCPFC,68,5x5,MON,138,1976,10x20,QTR,1,1017,5x5,MON,1,883
L,JP,2018,WCPFC,38,5x5,MON,148,1373,10x20,QTR,1,631,5x5,MON,1,442
L,JP,2019,WCPFC,45,5x5,MON,123,1685,10x20,QTR,1,1985,5x5,MON,1,1746
L,JP,2020,WCPFC,44,5x5,MON,140,1102,5x5,MON,1,386,10x20,QTR,1,363
L,JP,2021,WCPFC,71,5x5,MON,116,1078,10x20,QTR,1,202,5x5,MON,1,1
L,JP,2022,WCPFC,114,5x5,MON,92,1370,10x20,QTR,1,58,...,...,...,0
L,KI,2008,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,KI,2010,WCPFC,0,...,...,0,0,5x5,MON,1,13,...,...,...,0
L,KI,2012,WCPFC,0,5x5,MON,26,93,10x20,MON,1,29,...,...,...,0
L,KI,2013,WCPFC,0,5x5,MON,15,39,5x5,MON,1,51,...,...,...,0
L,KI,2015,WCPFC,8,5x5,MON,36,185,5x5,MON,1,629,...,...,...,0
L,KI,2016,WCPFC,21,5x5,MON,73,359,5x5,MON,1,225,...,...,...,0
L,KI,2017,WCPFC,56,5x5,MON,96,590,5x5,MON,1,65,...,...,...,0
L,KI,2018,WCPFC,15,5x5,MON,23,90,5x5,MON,1,5,...,...,...,0
L,KI,2019,WCPFC,144,5x5,MON,27,575,5x5,MON,1,98,...,...,...,0
L,KI,2020,WCPFC,35,5x5,MON,103,2006,5x5,MON,1,365,...,...,...,0
L,KI,2021,WCPFC,39,5x5,MON,146,1490,5x5,MON,1,225,...,...,...,0
L,KI,2022,WCPFC,110,5x5,MON,166,1440,5x5,MON,1,661,...,...,...,0
L,KI,2023,WCPFC,62,5x5,MON,168,2431,5x5,MON,1,646,...,...,...,0
L,KR,1998,WCPFC,2,5x5,MON,53,0,5x5,MON,1,188,...,...,...,0
L,KR,1999,WCPFC,3,5x5,MON,78,1,5x5,MON,1,6,...,...,...,0
L,KR,2001,WCPFC,4,5x5,MON,32,8,10x20,MON,1,15,...,...,...,0
L,KR,2002,WCPFC,10,5x5,MON,116,0,5x5,MON,1,104,10x20,MON,1,13
L,KR,2003,WCPFC,6,5x5,MON,110,36,10x20,MON,1,13,...,...,...,0
L,KR,2005,WCPFC,1,5x5,MON,19,0,5x5,MON,1,36,...,...,...,0
L,KR,2006,WCPFC,1,5x5,MON,34,0,5x5,MON,1,73,...,...,...,0
L,KR,2007,WCPFC,1,5x5,MON,26,0,5x5,MON,1,1,...,...,...,0
L,KR,2011,WCPFC,35,5x5,MON,214,44,5x5,MON,1,87,...,...,...,0
L,KR,2012,WCPFC,184,5x5,MON,267,144,5x5,MON,1,178,...,...,...,0
L,KR,2013,WCPFC,51,5x5,MON,236,375,5x5,MON,1,1346,...,...,...,0
L,KR,2014,WCPFC,100,5x5,MON,295,3085,5x5,MON,1,737,...,...,...,0
L,KR,2015,WCPFC,104,5x5,MON,344,4593,5x5,MON,1,348,...,...,...,0
L,KR,2016,WCPFC,166,5x5,MON,377,7406,5x5,MON,1,346,...,...,...,0
L,KR,2017,WCPFC,186,5x5,MON,428,7905,5x5,MON,1,474,...,...,...,0
L,KR,2018,WCPFC,202,5x5,MON,381,8065,5x5,MON,1,908,...,...,...,0
L,KR,2019,WCPFC,390,5x5,MON,413,10255,5x5,MON,1,2896,...,...,...,0
L,KR,2020,WCPFC,251,5x5,MON,431,9151,5x5,MON,1,430,...,...,...,0
L,KR,2021,WCPFC,332,5x5,MON,405,11102,5x5,MON,1,1105,...,...,...,0
L,KR,2022,WCPFC,424,5x5,MON,353,9349,5x5,MON,1,2209,...,...,...,0
L,KR,2023,WCPFC,374,...,...,0,0,5x5,MON,1,1497,...,...,...,0
L,MH,2008,WCPFC,0,5x5,MON,1,1,5x5,MON,1,77,...,...,...,0
L,MH,2016,WCPFC,3,5x5,MON,1,2,5x5,MON,1,86,...,...,...,0
L,MH,2017,WCPFC,1,5x5,MON,2,7,5x5,MON,1,10,...,...,...,0
L,MH,2018,WCPFC,14,...,...,0,0,5x5,MON,1,163,...,...,...,0
L,MH,2019,WCPFC,10,5x5,MON,5,14,5x5,MON,1,80,...,...,...,0
L,MH,2020,WCPFC,1,5x5,MON,22,59,5x5,MON,1,2,...,...,...,0
L,MH,2021,WCPFC,1,5x5,MON,15,33,5x5,MON,1,39,...,...,...,0
L,MH,2022,WCPFC,3,5x5,MON,5,11,5x5,MON,1,4,...,...,...,0
L,MH,2023,WCPFC,0,...,...,0,0,5x5,MON,1,21,...,...,...,0
L,NC,1994,WCPFC,0,...,...,0,0,5x5,MON,1,10,...,...,...,0
L,NC,1995,WCPFC,0,...,...,0,0,5x5,MON,1,54,...,...,...,0
L,NC,1996,WCPFC,0,...,...,0,0,5x5,MON,1,59,...,...,...,0
L,NC,1998,WCPFC,0,...,...,0,0,5x5,MON,1,10,...,...,...,0
L,NC,1999,WCPFC,0,...,...,0,0,5x5,MON,1,1,...,...,...,0
L,NC,2001,WCPFC,0,...,...,0,0,5x5,MON,1,16,...,...,...,0
L,NC,2002,WCPFC,0,5x5,MON,3,6,5x5,MON,1,164,...,...,...,0
L,NC,2003,WCPFC,0,...,...,0,0,5x5,MON,1,107,...,...,...,0
L,NC,2004,WCPFC,0,...,...,0,0,5x5,MON,1,96,...,...,...,0
L,NC,2005,WCPFC,0,...,...,0,0,5x5,MON,1,2,...,...,...,0
L,NC,2006,WCPFC,0,...,...,0,0,5x5,MON,1,68,...,...,...,0
L,NC,2007,WCPFC,0,...,...,0,0,5x5,MON,1,84,...,...,...,0
L,NC,2008,WCPFC,0,...,...,0,0,5x5,MON,1,73,...,...,...,0
L,NC,2009,WCPFC,0,5x5,MON,1,1,5x5,MON,1,599,...,...,...,0
L,NC,2010,WCPFC,0,5x5,MON,1,1,5x5,MON,1,884,...,...,...,0
L,NC,2011,WCPFC,0,5x5,MON,1,2,5x5,MON,1,371,...,...,...,0
L,NC,2012,WCPFC,0,5x5,MON,1,1,5x5,MON,1,303,...,...,...,0
L,NC,2013,WCPFC,0,5x5,MON,2,8,5x5,MON,1,186,...,...,...,0
L,NC,2014,WCPFC,0,5x5,MON,1,2,5x5,MON,1,575,...,...,...,0
L,NC,2015,WCPFC,6,5x5,MON,28,164,5x5,MON,1,161,...,...,...,0
L,NC,2016,WCPFC,58,5x5,MON,41,342,5x5,MON,1,201,...,...,...,0
L,NC,2017,WCPFC,41,5x5,MON,62,783,5x5,MON,1,845,...,...,...,0
L,NC,2018,WCPFC,15,5x5,MON,57,488,5x5,MON,1,712,...,...,...,0
L,NC,2019,WCPFC,21,5x5,MON,52,407,5x5,MON,1,285,...,...,...,0
L,NC,2020,WCPFC,8,5x5,MON,50,390,5x5,MON,1,232,...,...,...,0
L,NC,2021,WCPFC,12,5x5,MON,49,281,5x5,MON,1,325,...,...,...,0
L,NC,2022,WCPFC,92,5x5,MON,54,689,5x5,MON,1,947,...,...,...,0
L,NC,2023,WCPFC,13,5x5,MON,47,449,5x5,MON,1,213,...,...,...,0
L,NU,2005,WCPFC,4,5x5,MON,11,48,5x5,MON,1,3,...,...,...,0
L,NU,2006,WCPFC,8,5x5,MON,18,117,5x5,MON,1,104,...,...,...,0
L,NU,2007,WCPFC,12,5x5,MON,24,235,5x5,MON,1,24,...,...,...,0
L,NU,2008,WCPFC,7,5x5,MON,46,242,5x5,MON,1,5,...,...,...,0
L,NU,2009,WCPFC,5,5x5,MON,9,32,5x5,MON,1,11,...,...,...,0
L,NZ,1995,WCPFC,2,5x5,MON,18,67,5x5,MON,1,22,...,...,...,0
L,NZ,1996,WCPFC,3,5x5,MON,22,114,5x5,MON,1,59,...,...,...,0
L,NZ,1997,WCPFC,1,5x5,MON,15,34,5x5,MON,1,11,...,...,...,0
L,NZ,1998,WCPFC,3,5x5,MON,34,177,5x5,MON,1,34,...,...,...,0
L,NZ,1999,WCPFC,1,5x5,MON,20,57,5x5,MON,1,4,...,...,...,0
L,NZ,2000,WCPFC,1,5x5,MON,34,109,5x5,MON,1,3,...,...,...,0
L,NZ,2001,WCPFC,6,5x5,MON,47,569,5x5,MON,1,56,...,...,...,0
L,NZ,2002,WCPFC,7,5x5,MON,57,868,5x5,MON,1,27,...,...,...,0
L,NZ,2003,WCPFC,5,5x5,MON,40,402,5x5,MON,1,405,...,...,...,0
L,NZ,2004,WCPFC,3,5x5,MON,33,280,5x5,MON,1,62,...,...,...,0
L,NZ,2005,WCPFC,2,5x5,MON,27,156,5x5,MON,1,33,...,...,...,0
L,NZ,2006,WCPFC,1,5x5,MON,24,85,5x5,MON,1,5,...,...,...,0
L,NZ,2007,WCPFC,1,5x5,MON,21,128,5x5,MON,1,23,...,...,...,0
L,NZ,2008,WCPFC,0,5x5,MON,12,20,5x5,MON,1,6,...,...,...,0
L,NZ,2009,WCPFC,1,5x5,MON,20,39,5x5,MON,1,11,...,...,...,0
L,NZ,2010,WCPFC,1,5x5,MON,18,39,5x5,MON,1,4,...,...,...,0
L,NZ,2011,WCPFC,1,5x5,MON,22,77,5x5,MON,1,14,...,...,...,0
L,NZ,2012,WCPFC,1,5x5,MON,17,74,5x5,MON,1,4,...,...,...,0
L,NZ,2013,WCPFC,1,5x5,MON,23,81,5x5,MON,1,11,...,...,...,0
L,NZ,2014,WCPFC,1,5x5,MON,17,52,5x5,MON,1,4,...,...,...,0
L,NZ,2015,WCPFC,1,5x5,MON,23,64,5x5,MON,1,8,...,...,...,0
L,NZ,2016,WCPFC,1,5x5,MON,19,63,5x5,MON,1,10,...,...,...,0
L,NZ,2017,WCPFC,1,5x5,MON,23,54,5x5,MON,1,6,...,...,...,0
L,NZ,2018,WCPFC,1,5x5,MON,23,66,5x5,MON,1,23,...,...,...,0
L,NZ,2019,WCPFC,10,5x5,MON,13,31,5x5,MON,1,1,...,...,...,0
